USNM 348165,25.6,47.44,"L6-L8, l3-l6",Yorktown
USNM 348166,19.69,34.55,"L6-L8, l3-l6",Yorktown
USNM 348168,39.51,55.37,L1-L5,Yorktown
USNM 348178,42.29,56.88,l1-l5,Yorktown
USNM 348265,70.22,76.04,L1-L5,Yorktown
USNM 348277,81.48,91.35,L1-L5,Yorktown
USNM 348278,83.24,96.42,L1-L3,Yorktown
USNM 348279,76.59,79.13,l1-l2,Yorktown
USNM 348280,79.02,76.78,A1-A2,Yorktown
USNM 348283,75.63,65.52,l1-l3,Yorktown
USNM 348286,72.69,78.89,L1-L5,Yorktown
USNM 348305,75.11,75.52,l1-l2,Yorktown
USNM 348307,74.66,67.59,l1-l3,Yorktown
USNM 348308,68.75,57.91,a2-l1,Yorktown
USNM 348337,80.88,86.77,L1-L3,Yorktown
USNM 348375,42.76,65.06,"L4-L5, l4-l5",Yorktown
USNM 348381,57.2,65.97,L1-L5,Yorktown
USNM 348406,64.88,71.21,L1-L3,Yorktown
USNM 348410,65.41,70.44,L1-L3,Yorktown
USNM 348418,57.8,63.39,L1-L5,Yorktown
USNM 348420,67.6,75.71,L1-L5,Yorktown
USNM 348429,55.48,53.65,a1-a3,Yorktown
USNM 348431,54.23,53.98,a1-a3,Yorktown
USNM 348436,63.66,56.01,a1-a3,Yorktown
USNM 348445,69.94,70.64,a1-a3,Yorktown
USNM 348446,67.98,69.95,L1-L5,Yorktown
USNM 348448,55.71,65.52,L1-L5,Yorktown
USNM 348449,63.2,71.63,L1-L5,Yorktown
USNM 348450,61.3,72.22,L1-L5,Yorktown
USNM 348451,58.62,67,L2-L5,Yorktown
USNM 348452,63.95,76.83,L1-L3,Yorktown
USNM 348453,61.68,69.91,L1-L4,Yorktown
USNM 348454,65.42,71.47,L1-L5,Yorktown
USNM 348455,62.68,75.97,l1-l3,Yorktown
USNM 348456,66.39,67.91,A1-A2,Yorktown
USNM 348457,74.14,73.72,L1-L5,Yorktown
